City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,mhasvad,17.6333,74.7833,21.93,88,100,8.95,IN,23-07-18
312,remire-montjoly,4.9167,-52.2667,30.02,66,20,6.69,GF,23-07-18
313,teknaf,20.8624,92.3058,26.56,88,87,3.69,BD,23-07-18
314,ebaye,8.7748,167.7392,28.01,83,0,3.6,MH,23-07-18
315,havre,49.5833,0.3333,20.31,60,0,3.09,FR,23-07-18
316,pontes e lacerda,-15.2261,-59.3353,32.54,30,86,2.11,BR,23-07-18
317,crane,31.3974,-102.3501,39.37,13,0,8.49,US,23-07-18
318,dwarka,22.2394,68.9678,28.32,81,100,8.11,IN,23-07-18
319,shahr-e babak,30.1165,55.1186,30.07,11,53,5.53,IR,23-07-18
320,nouadhibou,20.931,-17.0347,23.99,73,6,6.69,MR,23-07-18
321,umba,66.6871,34.3429,13.55,87,100,1.84,RU,23-07-18
322,afaahiti,-17.75,-149.2833,26.93,78,30,8.99,PF,23-07-18
323,ryotsu-minato,38.0833,138.4333,23.38,91,100,2.96,JP,23-07-18
324,fort bragg,35.139,-79.006,34.08,46,0,0.89,US,23-07-18
325,belleville,44.1788,-77.3705,26.35,54,75,5.66,CA,23-07-18
326,kuraymah,18.55,31.85,37.16,10,99,4.5,SD,23-07-18
327,iskateley,67.6803,53.1512,16.94,90,98,1.0,RU,23-07-18
328,dholka,22.7167,72.4667,27.21,71,100,5.25,IN,23-07-18
329,cozumel,20.5083,-86.9458,33.3,78,40,5.66,MX,23-07-18
330,cavalaire-sur-mer,43.174,6.5272,27.7,72,0,3.56,FR,23-07-18
331,walvis bay,-22.9575,14.5053,19.11,43,0,5.93,NA,23-07-18
332,happy valley-goose bay,53.3168,-60.3315,31.17,35,20,9.77,CA,23-07-18
333,meridian,43.6121,-116.3915,29.04,28,0,3.6,US,23-07-18
334,vorkuta,67.5,64.0,16.36,87,97,2.97,RU,23-07-18
335,fortaleza,-3.7227,-38.5247,31.07,51,20,7.72,BR,23-07-18
336,saint-philippe,-21.3585,55.7679,21.77,78,37,5.83,RE,23-07-18
337,nuuk,64.1835,-51.7216,12.34,94,100,3.09,GL,23-07-18
338,dudinka,69.4058,86.1778,12.69,88,100,7.82,RU,23-07-18
339,san antonio de pale,-1.4014,5.6325,23.49,86,99,5.48,GQ,23-07-18
